name,yellow,second_yellow,red,goals,assists,g/a,position,actual_team,actual_league,value,player_league,player_team,player_nationality,appearances,age
Maxime Gonalons,3.0,0.0,0.0,,,,Pivote,,,,Ligue 1,Clermont Foot 63,Francia,25.0,
Riad Nouri,3.0,0.0,0.0,1.0,1.0,2.0,Extremo derecho,,,,Ligue 1,AC Ajaccio,Francia,33.0,37.0
Benoît Badiashile,3.0,0.0,0.0,2.0,0.0,2.0,Defensa central,Chelsea FC,Premier League,35.0,Ligue 1,AS Mónaco,Francia,11.0,21.0
Benoît Badiashile,2.0,0.0,0.0,2.0,0.0,2.0,Defensa central,Chelsea FC,Premier League,35.0,Premier League,Chelsea FC,Francia,11.0,21.0
Florent Mollet,3.0,0.0,0.0,1.0,0.0,1.0,Mediocentro ofensivo,,,,Ligue 1,FC Nantes,Francia,19.0,30.0
Presnel Kimpembe,3.0,0.0,0.0,,,,Defensa central,París Saint-Germain FC,Ligue 1,20.0,Ligue 1,París Saint-Germain FC,Francia,11.0,28.0
Grejohn Kyei,3.0,0.0,0.0,10.0,4.0,14.0,Delantero centro,,,,Ligue 1,Clermont Foot 63,Francia,37.0,27.0
Gabriel Gudmundsson,3.0,0.0,0.0,0.0,1.0,1.0,Lateral izquierdo,,,,Ligue 1,LOSC Lille,Suecia,18.0,24.0
Maghnes Akliouche,3.0,0.0,0.0,,,,Mediocentro ofensivo,,,,Ligue 1,AS Mónaco,Francia,11.0,
Lovro Majer,3.0,0.0,0.0,2.0,6.0,8.0,Mediocentro ofensivo,VfL Wolfsburgo,Bundesliga,25.0,Ligue 1,Stade Rennais FC,Croacia,32.0,25.0
Caio Henrique,3.0,0.0,0.0,1.0,9.0,10.0,Lateral izquierdo,AS Mónaco,Ligue 1,20.0,Ligue 1,AS Mónaco,Brasil,35.0,25.0
Elbasan Rashani,3.0,0.0,0.0,3.0,3.0,6.0,Extremo izquierdo,,,,Ligue 1,Clermont Foot 63,Kosovo,32.0,30.0
Ruben Aguilar,3.0,0.0,0.0,,,,Lateral derecho,,,,Ligue 1,AS Mónaco,Francia,20.0,
Gianluigi Donnarumma,3.0,0.0,0.0,,,,Portero,París Saint-Germain FC,Ligue 1,40.0,Ligue 1,París Saint-Germain FC,Italia,38.0,24.0
Xavier Chavalerin,3.0,0.0,0.0,4.0,2.0,6.0,Mediocentro,,,,Ligue 1,ESTAC Troyes,Francia,34.0,32.0
Vincent Sierro,3.0,0.0,0.0,,,,Mediocentro,,,,Ligue 1,Toulouse FC,Suiza,15.0,
Sada Thioub,3.0,0.0,0.0,1.0,2.0,3.0,Extremo derecho,,,,Ligue 1,Angers SCO,Senegal,27.0,28.0
Colin Dagba,3.0,0.0,0.0,,,,Lateral derecho,,,,Ligue 1,Racing Club de Estrasburgo,Francia,21.0,
Mason Holgate,1.0,1.0,0.0,,,,Defensa central,,,,Premier League,Everton FC,Inglaterra,8.0,
Shandon Baptiste,1.0,1.0,0.0,0.0,1.0,1.0,Mediocentro,,,,Premier League,Brentford FC,Granada,23.0,25.0
James Tomkins,1.0,1.0,0.0,1.0,0.0,1.0,Defensa central,,,,Premier League,Crystal Palace,Inglaterra,6.0,34.0
Álex Moreno,3.0,0.0,0.0,0.0,3.0,3.0,Lateral izquierdo,,,,Premier League,Aston Villa,España,19.0,29.0
Álex Moreno,1.0,0.0,0.0,0.0,3.0,3.0,Lateral izquierdo,,,,LaLiga,Real Betis Balompié,España,15.0,29.0
Max Kilman,3.0,0.0,0.0,,,,Defensa central,,,,Premier League,Wolverhampton Wanderers,Inglaterra,37.0,
Rúben Dias,3.0,0.0,0.0,,,,Defensa central,Manchester City,Premier League,80.0,Premier League,Manchester City,Portugal,26.0,26.0
Ben Chilwell,3.0,0.0,0.0,2.0,2.0,4.0,Lateral izquierdo,,,,Premier League,Chelsea FC,Inglaterra,23.0,26.0
Luke Ayling,3.0,0.0,0.0,2.0,1.0,3.0,Lateral derecho,,,,Premier League,Leeds United,Inglaterra,29.0,31.0
Philippe Coutinho,3.0,0.0,0.0,1.0,0.0,1.0,Mediocentro ofensivo,,,,Premier League,Aston Villa,Brasil,20.0,30.0
Kyle Walker,3.0,0.0,0.0,,,,Lateral derecho,,,,Premier League,Manchester City,Inglaterra,27.0,
Jean-Philippe Mateta,3.0,0.0,0.0,2.0,0.0,2.0,Delantero centro,,,,Premier League,Crystal Palace,Francia,29.0,25.0
Clément Lenglet,3.0,0.0,0.0,0.0,2.0,2.0,Defensa central,,,,Premier League,Tottenham Hotspur,Francia,26.0,27.0
Demarai Gray,3.0,0.0,0.0,4.0,1.0,5.0,Extremo izquierdo,,,,Premier League,Everton FC,Jamaica,33.0,26.0
João Moutinho,3.0,0.0,0.0,,,,Mediocentro,,,,Premier League,Wolverhampton Wanderers,Portugal,31.0,
Gianluca Scamacca,3.0,0.0,0.0,3.0,0.0,3.0,Delantero centro,Atalanta de Bérgamo,Serie A,25.0,Premier League,West Ham United,Italia,16.0,24.0
Cheikhou Kouyaté,3.0,0.0,0.0,1.0,0.0,1.0,Pivote,,,,Premier League,Nottingham Forest,Senegal,21.0,33.0
Alexander Isak,3.0,0.0,0.0,10.0,2.0,12.0,Delantero centro,Newcastle United,Premier League,70.0,Premier League,Newcastle United,Suecia,22.0,23.0
Yoane Wissa,3.0,0.0,0.0,7.0,3.0,10.0,Extremo izquierdo,,,,Premier League,Brentford FC,RD del Congo,38.0,26.0
Joe Gomez,3.0,0.0,0.0,,,,Defensa central,,,,Premier League,Liverpool FC,Inglaterra,21.0,
Enzo Fernández,3.0,0.0,0.0,,,,Mediocentro,Chelsea FC,Premier League,80.0,Premier League,Chelsea FC,Argentina,18.0,23.0
Eddie Nketiah,3.0,0.0,0.0,4.0,2.0,6.0,Delantero centro,,,,Premier League,Arsenal FC,Inglaterra,30.0,23.0
Vitaly Janelt,3.0,0.0,0.0,3.0,1.0,4.0,Pivote,,,,Premier League,Brentford FC,Alemania,35.0,25.0
Lloyd Kelly,3.0,0.0,0.0,0.0,2.0,2.0,Defensa central,,,,Premier League,AFC Bournemouth,Inglaterra,23.0,24.0
Oleksandr Zinchenko,3.0,0.0,0.0,1.0,2.0,3.0,Lateral izquierdo,Arsenal FC,Premier League,42.0,Premier League,Arsenal FC,Ucrania,27.0,26.0
Maximilian Wöber,3.0,0.0,0.0,,,,Defensa central,Borussia Mönchengladbach,Bundesliga,14.0,Premier League,Leeds United,Austria,16.0,25.0
Orel Mangala,3.0,0.0,0.0,1.0,1.0,2.0,Mediocentro,,,,Premier League,Nottingham Forest,Bélgica,27.0,25.0
Tom Davies,3.0,0.0,0.0,,,,Mediocentro,,,,Premier League,Everton FC,Inglaterra,19.0,
Eberechi Eze,3.0,0.0,0.0,10.0,4.0,14.0,Mediocentro ofensivo,Crystal Palace,Premier League,48.0,Premier League,Crystal Palace,Inglaterra,38.0,24.0
Richarlison,3.0,0.0,0.0,1.0,4.0,5.0,Delantero centro,,,,Premier League,Tottenham Hotspur,Brasil,27.0,26.0
Alejandro Garnacho,3.0,0.0,0.0,3.0,2.0,5.0,Extremo izquierdo,,,,Premier League,Manchester United,Argentina,19.0,18.0
Harvey Barnes,3.0,0.0,0.0,13.0,1.0,14.0,Extremo izquierdo,Newcastle United,Premier League,35.0,Premier League,Leicester City,Inglaterra,34.0,25.0
Dominic Calvert-Lewin,3.0,0.0,0.0,2.0,1.0,3.0,Delantero centro,,,,Premier League,Everton FC,Inglaterra,17.0,26.0
Luke Thomas,3.0,0.0,0.0,,,,Lateral izquierdo,,,,Premier League,Leicester City,Inglaterra,17.0,
Timothy Castagne,3.0,0.0,0.0,2.0,3.0,5.0,Lateral derecho,,,,Premier League,Leicester City,Bélgica,37.0,27.0
Ainsley Maitland-Niles,3.0,0.0,0.0,0.0,1.0,1.0,Mediocentro,,,,Premier League,Southampton FC,Inglaterra,22.0,25.0
Konstantinos Tsimikas,3.0,0.0,0.0,0.0,4.0,4.0,Lateral izquierdo,,,,Premier League,Liverpool FC,Grecia,20.0,27.0
Pablo Sarabia,3.0,0.0,0.0,,,,Extremo derecho,,,,Premier League,Wolverhampton Wanderers,España,13.0,
Pablo Sarabia,1.0,0.0,0.0,,,,Extremo derecho,,,,Ligue 1,París Saint-Germain FC,España,14.0,
Denzel Dumfries,4.0,0.0,0.0,1.0,7.0,8.0,Interior derecho,Inter de Milán,Serie A,30.0,Serie A,Inter de Milán,Países Bajos,34.0,27.0
Martín Satriano,4.0,0.0,0.0,2.0,1.0,3.0,Delantero centro,,,,Serie A,FC Empoli,Uruguay,31.0,22.0
José Machín,4.0,0.0,0.0,0.0,2.0,2.0,Mediocentro,,,,Serie A,AC Monza,Guinea Ecuatorial,25.0,26.0
Francesco Acerbi,4.0,0.0,0.0,0.0,1.0,1.0,Defensa central,,,,Serie A,Inter de Milán,Italia,31.0,35.0
Thomas Henry,4.0,0.0,0.0,2.0,1.0,3.0,Delantero centro,,,,Serie A,Hellas Verona,Francia,16.0,28.0
Antonio Sanabria,4.0,0.0,0.0,12.0,4.0,16.0,Delantero centro,,,,Serie A,Torino FC,Paraguay,33.0,27.0
Matteo Cancellieri,4.0,0.0,0.0,,,,Extremo derecho,,,,Serie A,SS Lazio,Italia,20.0,
Sandi Lovric,4.0,0.0,0.0,,,,Mediocentro,,,,Serie A,Udinese,Eslovenia,37.0,
Valentin Gendrey,4.0,0.0,0.0,0.0,4.0,4.0,Lateral derecho,,,,Serie A,US Lecce,Francia,37.0,22.0
Lorenzo Colombo,4.0,0.0,0.0,5.0,2.0,7.0,Delantero centro,,,,Serie A,US Lecce,Italia,33.0,21.0
Pierre Kalulu,4.0,0.0,0.0,1.0,0.0,1.0,Defensa central,AC Milan,Serie A,25.0,Serie A,AC Milan,Francia,34.0,22.0
Davide Frattesi,4.0,0.0,0.0,7.0,0.0,7.0,Mediocentro,Inter de Milán,Serie A,30.0,Serie A,US Sassuolo,Italia,36.0,23.0
Isaac Success,4.0,0.0,0.0,1.0,6.0,7.0,Delantero centro,,,,Serie A,Udinese,Nigeria,30.0,27.0
Jacopo Fazzini,4.0,0.0,0.0,,,,Mediocentro,,,,Serie A,FC Empoli,Italia,21.0,
Nicolò Zaniolo,4.0,0.0,0.0,1.0,0.0,1.0,Mediocentro ofensivo,,,,Serie A,AS Roma,Italia,13.0,23.0
Nikola Milenkovic,4.0,0.0,0.0,2.0,1.0,3.0,Defensa central,Fiorentina,Serie A,16.0,Serie A,Fiorentina,Serbia,27.0,25.0
Valentino Lazaro,4.0,0.0,0.0,0.0,3.0,3.0,Interior derecho,,,,Serie A,Torino FC,Austria,23.0,27.0
Pablo Marí,4.0,0.0,0.0,1.0,0.0,1.0,Defensa central,,,,Serie A,AC Monza,España,30.0,29.0
Michel Aebischer,4.0,0.0,0.0,1.0,1.0,2.0,Mediocentro,,,,Serie A,Bolonia,Suiza,32.0,26.0
Emil Holm,4.0,0.0,0.0,1.0,2.0,3.0,Interior derecho,,,,Serie A,Spezia,Suecia,20.0,22.0
Marvin Zeegelaar,1.0,1.0,0.0,1.0,0.0,1.0,Defensa central,,,,Serie A,Udinese,Países Bajos,7.0,32.0
Antonio Candreva,1.0,1.0,0.0,7.0,5.0,12.0,Interior derecho,,,,Serie A,US Salernitana 1919,Italia,35.0,36.0
Hirving Lozano,3.0,0.0,0.0,3.0,3.0,6.0,Extremo derecho,,,,Serie A,SSC Nápoles,México,32.0,27.0
Jeremy Toljan,3.0,0.0,0.0,0.0,1.0,1.0,Lateral derecho,,,,Serie A,US Sassuolo,Alemania,31.0,28.0
Koffi Djidji,3.0,0.0,0.0,1.0,0.0,1.0,Defensa central,,,,Serie A,Torino FC,Costa de Marfil,34.0,30.0
Koni De Winter,3.0,0.0,0.0,,,,Defensa central,,,,Serie A,FC Empoli,Bélgica,14.0,
Juan Miranda,1.0,0.0,1.0,3.0,2.0,5.0,Lateral izquierdo,,,,LaLiga,Real Betis Balompié,España,21.0,23.0
Kike Salas,1.0,0.0,1.0,1.0,1.0,2.0,Defensa central,,,,LaLiga,Sevilla FC,España,6.0,20.0
Kaiky,5.0,0.0,0.0,,,,Defensa central,,,,LaLiga,UD Almería,Brasil,13.0,
Hugo Duro,5.0,0.0,0.0,1.0,1.0,2.0,Delantero centro,,,,LaLiga,Valencia CF,España,30.0,23.0
Thierry Correia,5.0,0.0,0.0,,,,Lateral derecho,,,,LaLiga,Valencia CF,Portugal,27.0,
Kike García,5.0,0.0,0.0,2.0,0.0,2.0,Delantero centro,,,,LaLiga,CA Osasuna,España,35.0,33.0
Gonzalo Villar,5.0,0.0,0.0,,,,Mediocentro,,,,LaLiga,Getafe CF,España,16.0,
Gonzalo Villar,2.0,0.0,0.0,,,,Mediocentro,,,,Serie A,UC Sampdoria,España,15.0,
Antonio Sánchez,5.0,0.0,0.0,,,,Mediocentro,,,,LaLiga,RCD Mallorca,España,32.0,
Jaime Mata,5.0,0.0,0.0,1.0,1.0,2.0,Delantero centro,,,,LaLiga,Getafe CF,España,18.0,34.0
Asier Illarramendi,5.0,0.0,0.0,1.0,0.0,1.0,Pivote,,,,LaLiga,Real Sociedad,España,24.0,33.0
Tete Morente,5.0,0.0,0.0,4.0,0.0,4.0,Extremo izquierdo,,,,LaLiga,Elche CF,España,32.0,26.0
Geoffrey Kondogbia,5.0,0.0,0.0,0.0,2.0,2.0,Pivote,Olympique de Marsella,Ligue 1,15.0,LaLiga,Atlético de Madrid,República Centroafricana,20.0,30.0
Giovanni González,5.0,0.0,0.0,0.0,2.0,2.0,Lateral derecho,,,,LaLiga,RCD Mallorca,Uruguay,15.0,28.0
Rodrigo de Paul,5.0,0.0,0.0,2.0,7.0,9.0,Mediocentro,Atlético de Madrid,LaLiga,30.0,LaLiga,Atlético de Madrid,Argentina,30.0,29.0
Alex Telles,5.0,0.0,0.0,0.0,2.0,2.0,Lateral izquierdo,,,,LaLiga,Sevilla FC,Brasil,27.0,30.0
Jesús Navas,5.0,0.0,0.0,,,,Lateral derecho,,,,LaLiga,Sevilla FC,España,32.0,
Miguel Gutiérrez,5.0,0.0,0.0,2.0,4.0,6.0,Lateral izquierdo,Girona FC,LaLiga,20.0,LaLiga,Girona FC,España,34.0,21.0
Alfonso Pedraza,5.0,0.0,0.0,0.0,3.0,3.0,Lateral izquierdo,,,,LaLiga,Villarreal CF,España,26.0,27.0
Rodrigo Battaglia,5.0,0.0,0.0,,,,Pivote,,,,LaLiga,RCD Mallorca,Argentina,15.0,
Oier Zarraga,5.0,0.0,0.0,,,,Mediocentro,,,,LaLiga,Athletic Club,España,26.0,
Gonzalo Melero,5.0,0.0,0.0,4.0,3.0,7.0,Mediocentro,,,,LaLiga,UD Almería,España,27.0,29.0
Marcos Llorente,5.0,0.0,0.0,1.0,2.0,3.0,Mediocentro,Atlético de Madrid,LaLiga,30.0,LaLiga,Atlético de Madrid,España,22.0,28.0
Bernardo Espinosa,5.0,0.0,0.0,1.0,1.0,2.0,Defensa central,,,,LaLiga,Girona FC,Colombia,20.0,33.0
Darko Brasanac,5.0,0.0,0.0,1.0,1.0,2.0,Mediocentro,,,,LaLiga,CA Osasuna,Serbia,25.0,31.0
David López,5.0,0.0,0.0,3.0,1.0,4.0,Defensa central,,,,LaLiga,Girona FC,España,20.0,33.0
Jordan Amavi,2.0,1.0,0.0,,,,Lateral izquierdo,,,,LaLiga,Getafe CF,Francia,5.0,
Robert Lewandowski,2.0,1.0,0.0,23.0,7.0,30.0,Delantero centro,FC Barcelona,LaLiga,20.0,LaLiga,FC Barcelona,Polonia,34.0,34.0
Álex Centelles,0.0,0.0,1.0,1.0,2.0,3.0,Lateral izquierdo,,,,LaLiga,UD Almería,España,15.0,23.0
Jorge Herrando,0.0,0.0,1.0,,,,Defensa central,,,,LaLiga,CA Osasuna,España,1.0,
Lisandro Magallán,0.0,0.0,1.0,,,,Defensa central,,,,LaLiga,Elche CF,Argentina,14.0,
Sergio León,0.0,0.0,1.0,6.0,1.0,7.0,Delantero centro,,,,LaLiga,Real Valladolid CF,España,29.0,34.0
Mario Suárez,0.0,0.0,1.0,,,,Pivote,,,,LaLiga,Rayo Vallecano,España,2.0,
Jordi Masip,4.0,0.0,0.0,,,,Portero,,,,LaLiga,Real Valladolid CF,España,28.0,
Stole Dimitrievski,4.0,0.0,0.0,,,,Portero,,,,LaLiga,Rayo Vallecano,Macedonia del Norte,37.0,
Ederson,3.0,0.0,0.0,,,,Portero,Manchester City,Premier League,40.0,Premier League,Manchester City,Brasil,35.0,30.0
Andrew Robertson,3.0,0.0,0.0,0.0,8.0,8.0,Lateral izquierdo,,,,Premier League,Liverpool FC,Escocia,34.0,29.0
Illan Meslier,3.0,0.0,0.0,,,,Portero,,,,Premier League,Leeds United,Francia,34.0,
Bernd Leno,3.0,0.0,0.0,,,,Portero,,,,Premier League,Fulham FC,Alemania,36.0,
Odsonne Edouard,3.0,0.0,0.0,5.0,2.0,7.0,Delantero centro,,,,Premier League,Crystal Palace,Francia,35.0,25.0
Virgil van Dijk,3.0,0.0,0.0,3.0,1.0,4.0,Defensa central,,,,Premier League,Liverpool FC,Países Bajos,32.0,31.0
Calum Chambers,2.0,0.0,0.0,,,,Lateral derecho,,,,Premier League,Aston Villa,Inglaterra,14.0,
Marcus Rashford,2.0,0.0,0.0,17.0,5.0,22.0,Extremo izquierdo,Manchester United,Premier League,70.0,Premier League,Manchester United,Inglaterra,35.0,25.0
Ben Godfrey,2.0,0.0,0.0,0.0,1.0,1.0,Defensa central,,,,Premier League,Everton FC,Inglaterra,13.0,25.0
Harry Toffolo,2.0,0.0,0.0,,,,Lateral izquierdo,,,,Premier League,Nottingham Forest,Inglaterra,19.0,
Jack Stacey,2.0,0.0,0.0,,,,Lateral derecho,,,,Premier League,AFC Bournemouth,Inglaterra,10.0,
Harvey Elliott,2.0,0.0,0.0,1.0,2.0,3.0,Mediocentro ofensivo,,,,Premier League,Liverpool FC,Inglaterra,32.0,20.0
Dean Henderson,2.0,0.0,0.0,,,,Portero,,,,Premier League,Nottingham Forest,Inglaterra,18.0,
Taiwo Awoniyi,2.0,0.0,0.0,10.0,1.0,11.0,Delantero centro,,,,Premier League,Nottingham Forest,Nigeria,27.0,25.0
Adam Webster,2.0,0.0,0.0,,,,Defensa central,,,,Premier League,Brighton & Hove Albion,Inglaterra,27.0,
Dominic Solanke,2.0,0.0,0.0,6.0,7.0,13.0,Delantero centro,,,,Premier League,AFC Bournemouth,Inglaterra,33.0,25.0
Serge Aurier,2.0,0.0,0.0,,,,Lateral derecho,,,,Premier League,Nottingham Forest,Costa de Marfil,24.0,
Mohamed Salah,2.0,0.0,0.0,19.0,12.0,31.0,Extremo derecho,Liverpool FC,Premier League,65.0,Premier League,Liverpool FC,Egipto,38.0,30.0
Kevin Schade,2.0,0.0,0.0,1.0,0.0,1.0,Extremo derecho,,,,Premier League,Brentford FC,Alemania,18.0,20.0
Solly March,2.0,0.0,0.0,7.0,7.0,14.0,Extremo derecho,,,,Premier League,Brighton & Hove Albion,Inglaterra,33.0,28.0
Victor Kristiansen,2.0,0.0,0.0,0.0,1.0,1.0,Lateral izquierdo,,,,Premier League,Leicester City,Dinamarca,12.0,20.0
Jan Paul van Hecke,2.0,0.0,0.0,,,,Defensa central,,,,Premier League,Brighton & Hove Albion,Países Bajos,8.0,
Willian,2.0,0.0,0.0,5.0,6.0,11.0,Extremo izquierdo,,,,Premier League,Fulham FC,Brasil,27.0,34.0
Diogo Jota,2.0,0.0,0.0,7.0,4.0,11.0,Extremo izquierdo,Liverpool FC,Premier League,50.0,Premier League,Liverpool FC,Portugal,22.0,26.0
Patson Daka,2.0,0.0,0.0,4.0,4.0,8.0,Delantero centro,,,,Premier League,Leicester City,Zambia,30.0,24.0
Riyad Mahrez,2.0,0.0,0.0,5.0,10.0,15.0,Extremo derecho,,,,Premier League,Manchester City,Argelia,30.0,32.0
Lewis O'Brien,2.0,0.0,0.0,1.0,0.0,1.0,Mediocentro,,,,Premier League,Nottingham Forest,Inglaterra,13.0,24.0
Miguel Almirón,2.0,0.0,0.0,11.0,2.0,13.0,Extremo derecho,,,,Premier League,Newcastle United,Paraguay,34.0,29.0
Zanka,2.0,0.0,0.0,,,,Defensa central,,,,Premier League,Brentford FC,Dinamarca,18.0,
Takehiro Tomiyasu,2.0,0.0,0.0,,,,Lateral derecho,,,,Premier League,Arsenal FC,Japón,21.0,
Boubacar Traoré,2.0,0.0,0.0,0.0,1.0,1.0,Pivote,,,,Premier League,Wolverhampton Wanderers,Malí,10.0,21.0
Keylor Navas,2.0,0.0,0.0,,,,Portero,,,,Premier League,Nottingham Forest,Costa Rica,17.0,
Thiago Silva,2.0,0.0,0.0,,,,Defensa central,,,,Premier League,Chelsea FC,Brasil,27.0,
Mateusz Klich,2.0,0.0,0.0,,,,Mediocentro,,,,Premier League,Leeds United,Polonia,14.0,
Robert Sánchez,2.0,0.0,0.0,,,,Portero,,,,Premier League,Brighton & Hove Albion,España,23.0,
Facundo Buonanotte,2.0,0.0,0.0,1.0,1.0,2.0,Mediocentro ofensivo,,,,Premier League,Brighton & Hove Albion,Argentina,13.0,18.0
Alex Iwobi,2.0,0.0,0.0,2.0,8.0,10.0,Mediocentro ofensivo,,,,Premier League,Everton FC,Nigeria,38.0,27.0
Issa Diop,2.0,0.0,0.0,1.0,0.0,1.0,Defensa central,,,,Premier League,Fulham FC,Francia,25.0,26.0
Jarrod Bowen,2.0,0.0,0.0,6.0,6.0,12.0,Extremo derecho,,,,Premier League,West Ham United,Inglaterra,38.0,26.0
Jaidon Anthony,2.0,0.0,0.0,3.0,1.0,4.0,Extremo izquierdo,,,,Premier League,AFC Bournemouth,Inglaterra,30.0,23.0
Sven Botman,2.0,0.0,0.0,,,,Defensa central,Newcastle United,Premier League,45.0,Premier League,Newcastle United,Países Bajos,36.0,24.0
Tim Ream,2.0,0.0,0.0,1.0,0.0,1.0,Defensa central,,,,Premier League,Fulham FC,Estados Unidos,33.0,35.0
Joe Aribo,2.0,0.0,0.0,2.0,0.0,2.0,Mediocentro,,,,Premier League,Southampton FC,Nigeria,21.0,26.0
Luis Díaz,2.0,0.0,0.0,4.0,2.0,6.0,Extremo izquierdo,Liverpool FC,Premier League,75.0,Premier League,Liverpool FC,Colombia,17.0,26.0
Ryan Christie,2.0,0.0,0.0,1.0,1.0,2.0,Mediocentro ofensivo,,,,Premier League,AFC Bournemouth,Escocia,32.0,28.0
Adama Traoré,2.0,0.0,0.0,2.0,2.0,4.0,Extremo derecho,,,,Premier League,Wolverhampton Wanderers,España,34.0,27.0
Sean Longstaff,2.0,0.0,0.0,1.0,4.0,5.0,Mediocentro,,,,Premier League,Newcastle United,Inglaterra,33.0,25.0
Aaron Cresswell,2.0,0.0,0.0,0.0,1.0,1.0,Lateral izquierdo,,,,Premier League,West Ham United,Inglaterra,28.0,33.0
Tom Cairney,2.0,0.0,0.0,2.0,0.0,2.0,Mediocentro,,,,Premier League,Fulham FC,Escocia,33.0,32.0
Curtis Jones,2.0,0.0,0.0,3.0,1.0,4.0,Mediocentro,,,,Premier League,Liverpool FC,Inglaterra,18.0,22.0
Jordan Henderson,2.0,0.0,0.0,0.0,2.0,2.0,Mediocentro,,,,Premier League,Liverpool FC,Inglaterra,35.0,32.0
Sam Surridge,2.0,0.0,0.0,1.0,0.0,1.0,Delantero centro,,,,Premier League,Nottingham Forest,Inglaterra,20.0,24.0
Stefan Bajcetic,2.0,0.0,0.0,1.0,0.0,1.0,Pivote,,,,Premier League,Liverpool FC,España,11.0,18.0
Jack Harrison,2.0,0.0,0.0,5.0,7.0,12.0,Extremo derecho,,,,Premier League,Leeds United,Inglaterra,36.0,26.0
Emerson Palmieri,2.0,0.0,0.0,1.0,0.0,1.0,Lateral izquierdo,,,,Premier League,West Ham United,Italia,22.0,28.0
Flynn Downes,2.0,0.0,0.0,,,,Mediocentro,,,,Premier League,West Ham United,Inglaterra,21.0,
Yerry Mina,2.0,0.0,0.0,2.0,0.0,2.0,Defensa central,,,,Premier League,Everton FC,Colombia,7.0,28.0
Ben Mee,2.0,0.0,0.0,3.0,2.0,5.0,Defensa central,,,,Premier League,Brentford FC,Inglaterra,37.0,33.0
Heung-min Son,2.0,0.0,0.0,10.0,6.0,16.0,Extremo izquierdo,Tottenham Hotspur,Premier League,50.0,Premier League,Tottenham Hotspur,Corea del Sur,36.0,30.0
Dejan Kulusevski,2.0,0.0,0.0,2.0,7.0,9.0,Extremo derecho,Tottenham Hotspur,Premier League,55.0,Premier League,Tottenham Hotspur,Suecia,30.0,23.0
Aaron Wan-Bissaka,2.0,0.0,0.0,,,,Lateral derecho,,,,Premier League,Manchester United,Inglaterra,19.0,
John Stones,2.0,0.0,0.0,2.0,2.0,4.0,Defensa central,Manchester City,Premier League,38.0,Premier League,Manchester City,Inglaterra,23.0,29.0
Deniz Undav,2.0,0.0,0.0,5.0,0.0,5.0,Delantero centro,VfB Stuttgart,Bundesliga,17.0,Premier League,Brighton & Hove Albion,Alemania,22.0,26.0
Luka Milivojevic,2.0,0.0,0.0,,,,Pivote,,,,Premier League,Crystal Palace,Serbia,18.0,
Duje Caleta-Car,2.0,0.0,0.0,1.0,0.0,1.0,Defensa central,,,,Premier League,Southampton FC,Croacia,13.0,26.0
Nathan Aké,2.0,0.0,0.0,1.0,0.0,1.0,Defensa central,Manchester City,Premier League,40.0,Premier League,Manchester City,Países Bajos,26.0,28.0
Adam Armstrong,2.0,0.0,0.0,2.0,1.0,3.0,Delantero centro,,,,Premier League,Southampton FC,Inglaterra,30.0,26.0
Cristiano Ronaldo,2.0,0.0,0.0,1.0,0.0,1.0,Delantero centro,,,,Premier League,Manchester United,Portugal,10.0,37.0
Thiago,2.0,0.0,0.0,,,,Mediocentro,,,,Premier League,Liverpool FC,España,18.0,
Michail Antonio,2.0,0.0,0.0,5.0,3.0,8.0,Delantero centro,,,,Premier League,West Ham United,Jamaica,33.0,33.0
Leonardo Spinazzola,3.0,0.0,0.0,1.0,4.0,5.0,Lateral izquierdo,,,,Serie A,AS Roma,Italia,26.0,30.0
Alberto Grassi,3.0,0.0,0.0,,,,Pivote,,,,Serie A,FC Empoli,Italia,25.0,
Alessandro Bastoni,3.0,0.0,0.0,0.0,2.0,2.0,Defensa central,Inter de Milán,Serie A,60.0,Serie A,Inter de Milán,Italia,29.0,24.0
Luis Alberto,3.0,0.0,0.0,6.0,7.0,13.0,Mediocentro,SS Lazio,Serie A,18.0,Serie A,SS Lazio,España,35.0,30.0
Jakub Kiwior,3.0,0.0,0.0,1.0,0.0,1.0,Defensa central,,,,Serie A,Spezia,Polonia,17.0,23.0
Mario Pasalic,3.0,0.0,0.0,5.0,2.0,7.0,Mediocentro ofensivo,,,,Serie A,Atalanta de Bérgamo,Croacia,32.0,28.0
Mikael Egill Ellertsson,3.0,0.0,0.0,,,,Mediocentro,,,,Serie A,Spezia,Islandia,11.0,
Guglielmo Vicario,3.0,0.0,0.0,,,,Portero,,,,Serie A,FC Empoli,Italia,31.0,
Brahim Díaz,3.0,0.0,0.0,6.0,7.0,13.0,Mediocentro ofensivo,Real Madrid CF,LaLiga,20.0,Serie A,AC Milan,España,33.0,23.0
Milan Djuric,3.0,0.0,0.0,1.0,1.0,2.0,Delantero centro,,,,Serie A,Hellas Verona,Bosnia y Herzegovina,28.0,33.0
Berat Djimsiti,3.0,0.0,0.0,0.0,1.0,1.0,Defensa central,,,,Serie A,Atalanta de Bérgamo,Albania,24.0,30.0
Lautaro Martínez,3.0,0.0,0.0,21.0,7.0,28.0,Delantero centro,Inter de Milán,Serie A,110.0,Serie A,Inter de Milán,Argentina,38.0,25.0
Tommaso Augello,3.0,0.0,0.0,2.0,5.0,7.0,Lateral izquierdo,,,,Serie A,UC Sampdoria,Italia,37.0,28.0
