name,yellow,second_yellow,red,goals,assists,g/a,position,actual_team,actual_league,value,player_league,player_team,player_nationality,appearances,age
Eric Martel,6.0,0.0,0.0,1.0,1.0,2.0,Pivote,,,,Bundesliga,FC Colonia,Alemania,29.0,21.0
Casemiro,7.0,0.0,2.0,4.0,3.0,7.0,Pivote,,,,Premier League,Manchester United,Brasil,28.0,31.0
Nélson Semedo,11.0,0.0,1.0,,,,Lateral derecho,,,,Premier League,Wolverhampton Wanderers,Portugal,36.0,
João Palhinha,14.0,0.0,0.0,3.0,0.0,3.0,Pivote,Fulham FC,Premier League,60.0,Premier League,Fulham FC,Portugal,35.0,27.0
Rúben Neves,12.0,0.0,0.0,6.0,1.0,7.0,Pivote,,,,Premier League,Wolverhampton Wanderers,Portugal,35.0,26.0
Joelinton,12.0,0.0,0.0,6.0,2.0,8.0,Mediocentro,Newcastle United,Premier League,42.0,Premier League,Newcastle United,Brasil,32.0,26.0
Cristian Romero,9.0,1.0,0.0,,,,Defensa central,Tottenham Hotspur,Premier League,65.0,Premier League,Tottenham Hotspur,Argentina,27.0,25.0
Conor Gallagher,9.0,1.0,0.0,3.0,1.0,4.0,Mediocentro,Chelsea FC,Premier League,42.0,Premier League,Chelsea FC,Inglaterra,35.0,23.0
Fabinho,11.0,0.0,0.0,0.0,2.0,2.0,Pivote,,,,Premier League,Liverpool FC,Brasil,36.0,29.0
Adam Smith,11.0,0.0,0.0,0.0,1.0,1.0,Lateral derecho,,,,Premier League,AFC Bournemouth,Inglaterra,37.0,32.0
Cheick Doucouré,8.0,1.0,0.0,0.0,3.0,3.0,Pivote,,,,Premier League,Crystal Palace,Malí,34.0,23.0
Junior Firpo,6.0,0.0,1.0,1.0,1.0,2.0,Lateral izquierdo,,,,Premier League,Leeds United,República Dominicana,19.0,26.0
Abdoulaye Doucouré,6.0,0.0,1.0,5.0,2.0,7.0,Mediocentro,,,,Premier League,Everton FC,Malí,25.0,30.0
Douglas Luiz,6.0,0.0,1.0,6.0,6.0,12.0,Mediocentro,Aston Villa,Premier League,60.0,Premier League,Aston Villa,Brasil,37.0,25.0
Moisés Caicedo,10.0,0.0,0.0,1.0,1.0,2.0,Pivote,Chelsea FC,Premier League,90.0,Premier League,Brighton & Hove Albion,Ecuador,37.0,21.0
James Maddison,10.0,0.0,0.0,10.0,9.0,19.0,Mediocentro ofensivo,Tottenham Hotspur,Premier League,70.0,Premier League,Leicester City,Inglaterra,30.0,26.0
Diego Costa,5.0,0.0,1.0,,,,Delantero centro,,,,Premier League,Wolverhampton Wanderers,España,23.0,
Tyrick Mitchell,5.0,0.0,1.0,0.0,2.0,2.0,Lateral izquierdo,,,,Premier League,Crystal Palace,Inglaterra,36.0,23.0
Roméo Lavia,9.0,0.0,0.0,1.0,0.0,1.0,Pivote,Chelsea FC,Premier League,50.0,Premier League,Southampton FC,Bélgica,29.0,19.0
Ivan Toney,9.0,0.0,0.0,20.0,4.0,24.0,Delantero centro,,,,Premier League,Brentford FC,Inglaterra,33.0,27.0
Boubakary Soumaré,9.0,0.0,0.0,,,,Pivote,Sevilla FC,LaLiga,14.0,Premier League,Leicester City,Francia,26.0,24.0
Amadou Onana,9.0,0.0,0.0,1.0,2.0,3.0,Pivote,Everton FC,Premier League,50.0,Premier League,Everton FC,Bélgica,33.0,21.0
Marc Guéhi,8.0,0.0,0.0,1.0,0.0,1.0,Defensa central,Crystal Palace,Premier League,38.0,Premier League,Crystal Palace,Inglaterra,37.0,22.0
Antonee Robinson,8.0,0.0,0.0,,,,Lateral izquierdo,,,,Premier League,Fulham FC,Estados Unidos,35.0,
Luke Shaw,8.0,0.0,0.0,1.0,2.0,3.0,Lateral izquierdo,Manchester United,Premier League,38.0,Premier League,Manchester United,Inglaterra,31.0,27.0
Scott McTominay,8.0,0.0,0.0,,,,Pivote,,,,Premier League,Manchester United,Escocia,24.0,
Ruan Tressoldi,9.0,2.0,1.0,,,,Defensa central,,,,Serie A,US Sassuolo,Brasil,23.0,
Rodrigo Becão,11.0,0.0,1.0,2.0,1.0,3.0,Defensa central,,,,Serie A,Udinese,Brasil,28.0,27.0
Fabiano Parisi,10.0,0.0,1.0,2.0,2.0,4.0,Lateral izquierdo,,,,Serie A,FC Empoli,Italia,33.0,22.0
Jean-Daniel Akpa Akpro,7.0,1.0,1.0,1.0,1.0,2.0,Mediocentro,,,,Serie A,FC Empoli,Costa de Marfil,24.0,30.0
Federico Ceccherini,9.0,0.0,1.0,2.0,0.0,2.0,Defensa central,,,,Serie A,Hellas Verona,Italia,22.0,31.0
Morten Hjulmand,9.0,0.0,1.0,0.0,4.0,4.0,Pivote,,,,Serie A,US Lecce,Dinamarca,35.0,23.0
Dimitrios Nikolaou,9.0,0.0,1.0,1.0,0.0,1.0,Defensa central,,,,Serie A,Spezia,Grecia,36.0,24.0
Riccardo Orsolini,6.0,1.0,1.0,11.0,4.0,15.0,Extremo derecho,,,,Serie A,Bolonia,Italia,32.0,26.0
Mehdi Léris,13.0,0.0,0.0,1.0,1.0,2.0,Extremo derecho,,,,Serie A,UC Sampdoria,Argelia,32.0,25.0
Bryan Cristante,8.0,0.0,1.0,1.0,1.0,2.0,Pivote,AS Roma,Serie A,20.0,Serie A,AS Roma,Italia,36.0,28.0
Charles Pickel,8.0,0.0,1.0,1.0,0.0,1.0,Pivote,,,,Serie A,US Cremonese,RD del Congo,33.0,26.0
Adam Marusic,8.0,0.0,1.0,0.0,2.0,2.0,Lateral derecho,,,,Serie A,SS Lazio,Montenegro,33.0,30.0
Lassana Coulibaly,12.0,0.0,0.0,3.0,3.0,6.0,Mediocentro,,,,Serie A,US Salernitana 1919,Malí,35.0,27.0
Roger Ibañez,9.0,1.0,0.0,3.0,0.0,3.0,Defensa central,,,,Serie A,AS Roma,Brasil,33.0,24.0
Ethan Ampadu,9.0,1.0,0.0,0.0,1.0,1.0,Pivote,,,,Serie A,Spezia,Gales,31.0,22.0
Marlon,7.0,0.0,1.0,,,,Defensa central,,,,Serie A,AC Monza,Brasil,28.0,
Tomás Rincón,7.0,0.0,1.0,0.0,2.0,2.0,Pivote,,,,Serie A,UC Sampdoria,Venezuela,34.0,35.0
Nehuén Pérez,7.0,0.0,1.0,2.0,0.0,2.0,Defensa central,,,,Serie A,Udinese,Argentina,34.0,22.0
Leandro Paredes,7.0,0.0,1.0,1.0,0.0,1.0,Pivote,,,,Serie A,Juventus de Turín,Argentina,25.0,28.0
Giangiacomo Magnani,7.0,0.0,1.0,0.0,1.0,1.0,Defensa central,,,,Serie A,Hellas Verona,Italia,24.0,27.0
Maxime López,11.0,0.0,0.0,,,,Pivote,,,,Serie A,US Sassuolo,Francia,30.0,
Sofyan Amrabat,11.0,0.0,0.0,0.0,1.0,1.0,Pivote,,,,Serie A,Fiorentina,Marruecos,29.0,26.0
Leonardo Sernicola,11.0,0.0,0.0,2.0,2.0,4.0,Lateral derecho,,,,Serie A,US Cremonese,Italia,32.0,25.0
Marcos Acuña,9.0,0.0,3.0,3.0,2.0,5.0,Lateral izquierdo,,,,LaLiga,Sevilla FC,Argentina,30.0,31.0
Germán Pezzella,4.0,0.0,3.0,,,,Defensa central,,,,LaLiga,Real Betis Balompié,Argentina,31.0,
Iza Carcelén,4.0,0.0,3.0,,,,Lateral derecho,,,,LaLiga,Cádiz CF,España,27.0,
Luiz Felipe,3.0,0.0,3.0,,,,Defensa central,,,,LaLiga,Real Betis Balompié,Italia,23.0,
Florian Lejeune,4.0,1.0,2.0,4.0,0.0,4.0,Defensa central,,,,LaLiga,Rayo Vallecano,Francia,31.0,32.0
Antonio Raíllo,11.0,0.0,1.0,2.0,4.0,6.0,Defensa central,,,,LaLiga,RCD Mallorca,España,31.0,31.0
Leandro Cabrera,8.0,1.0,1.0,0.0,1.0,1.0,Defensa central,,,,LaLiga,RCD Espanyol,Uruguay,32.0,31.0
Alejandro Catena,12.0,1.0,0.0,1.0,1.0,2.0,Defensa central,,,,LaLiga,Rayo Vallecano,España,35.0,28.0
Vinicius Junior,10.0,0.0,1.0,10.0,10.0,20.0,Extremo izquierdo,Real Madrid CF,LaLiga,150.0,LaLiga,Real Madrid CF,Brasil,33.0,22.0
Djené,10.0,0.0,1.0,0.0,1.0,1.0,Defensa central,,,,LaLiga,Getafe CF,Togo,33.0,31.0
Yunus Musah,10.0,0.0,1.0,0.0,2.0,2.0,Mediocentro,AC Milan,Serie A,23.0,LaLiga,Valencia CF,Estados Unidos,33.0,20.0
Stefan Savic,5.0,0.0,2.0,,,,Defensa central,,,,LaLiga,Atlético de Madrid,Montenegro,22.0,
Óscar Gil,14.0,0.0,0.0,0.0,1.0,1.0,Lateral derecho,,,,LaLiga,RCD Espanyol,España,33.0,25.0
Fede San Emeterio,14.0,0.0,0.0,,,,Mediocentro,,,,LaLiga,Cádiz CF,España,33.0,
Álex Baena,11.0,1.0,0.0,6.0,3.0,9.0,Mediocentro ofensivo,Villarreal CF,LaLiga,25.0,LaLiga,Villarreal CF,España,35.0,21.0
Iván Alejo,11.0,1.0,0.0,,,,Extremo derecho,,,,LaLiga,Cádiz CF,España,31.0,
Carles Aleñá,10.0,1.0,0.0,2.0,2.0,4.0,Mediocentro,,,,LaLiga,Getafe CF,España,35.0,25.0
David García,8.0,0.0,1.0,2.0,0.0,2.0,Defensa central,CA Osasuna,LaLiga,14.0,LaLiga,CA Osasuna,España,32.0,29.0
Gonzalo Montiel,8.0,0.0,1.0,0.0,3.0,3.0,Lateral derecho,,,,LaLiga,Sevilla FC,Argentina,28.0,26.0
Dani Vivian,8.0,0.0,1.0,,,,Defensa central,Athletic Club,LaLiga,20.0,LaLiga,Athletic Club,España,29.0,24.0
Gastón Álvarez,8.0,0.0,1.0,2.0,0.0,2.0,Defensa central,,,,LaLiga,Getafe CF,Uruguay,22.0,23.0
Martin Hongla,5.0,1.0,1.0,,,,Pivote,,,,LaLiga,Real Valladolid CF,Camerún,16.0,
